physical_html	title	p_count	note_node_count	table_count	main_chars	note_chars	table_chars	total_chars	replacement_char_count	parse_error
104.htm	志第十四・五行二	39	40	0	2784	2758	0	5542	0	
105.htm	志第十五・五行三	68	58	0	2474	4271	0	6745	0	
106.htm	志第十六・五行四	92	1	0	3374	4	0	3378	0	
107.htm	志第十七・五行五	35	31	0	2054	4291	0	6345	0	
108.htm	志第十八・五行六	82	79	0	3431	4759	0	8190	0	
109.htm	志第十九・郡國一	17	217	0	1695	9677	0	11372	0	
110.htm	志第二十・郡國二	34	148	0	2217	4804	0	7021	0	
111.htm	志第二十一・郡國三	30	149	0	1921	4517	0	6438	0	
112.htm	志第二十二・郡國四	44	179	0	2547	6197	0	8744	0	
113.htm	志第二十三・郡國五	114	240	0	3893	7967	0	11860	0	
114.htm	志第二十四・百官一	17	30	0	1830	3831	0	5661	0	
115.htm	志第二十五・百官二	48	80	0	2660	3037	0	5697	0	
116.htm	志第二十六・百官三	36	60	0	2311	3805	0	6116	0	
117.htm	志第二十七・百官四	47	52	0	2299	1567	0	3866	0	
118.htm	志第二十八・百官五	25	48	0	2723	7562	0	10285	0	
119.htm	志第二十九・輿服上	29	66	0	3478	3952	0	7430	0	
120.htm	志第三十・輿服下	49	66	0	4389	4872	0	9261	0	
